product_category,Description
HOME_THERMOMETER,Thermometers
HOME_ICYHOT,Single use therapeutic hot or cold products
HOME_SHOWERCAP,Shower cap
PRESCRIPTION_MEDS,Prescription medication
HOME_ACNETREATNEMT,Acne treatments
HOME_PETROLEUMJELLY,Petroleum jelly labeled with drug facts
HOME_FEMININEHYGIENE,"Tampons, sanitary napkins, menstrual cups etc."
HOME_DENTURECLEANERS,Denture cleaners
HOME_EYEGLASSES_CONTACTS,Eyeglasses or contact lenses
HOME_CONTACTSOLUTION,Contact solution
HOME_SHOEPOLISH,Shoe Polish
PERIODICAL_SUBSCRIPTION,Periodical delivered electronically
PET_FOOD,Pet food
PLANT_NON_FOOD,Plants for home use - includes flowers and trees
PLANT_SEEDS_FOOD,Seeds to grow food for personal consumption
PLANT_SEEDS_NON_FOOD,Seeds to grow plants that don't produce food
PLANT_FOOD_ANNUAL,Plants to grow food for home consumption
PLANT_FOOD_PERENNIAL,"Plants that will generate food over many years, including fruit trees"
SHIPPING,Charges for shipping & handling
